INFO:root:Clock Speed: 3
INFO:root:Sent Message: System Time - 1678137686.4206212, Logical Clock Time - 77, Queue Length - 0, Message - [machine 1, task 3] the time is 76
INFO:root:Sent Message: System Time - 1678137686.760684, Logical Clock Time - 78, Queue Length - 0, Message - [machine 1, task 3] the time is 77
INFO:root:Sent Message: System Time - 1678137687.103477, Logical Clock Time - 79, Queue Length - 0, Message - [machine 1, task 1] the time is 78
INFO:root:Sent Message: System Time - 1678137687.443588, Logical Clock Time - 80, Queue Length - 0, Message - [machine 1, task 1] the time is 79
INFO:root:Sent Message: System Time - 1678137687.782997, Logical Clock Time - 81, Queue Length - 0, Message - [machine 1, task 3] the time is 80
INFO:root:Sent Message: System Time - 1678137688.124504, Logical Clock Time - 82, Queue Length - 0, Message - [machine 1, task 3] the time is 81
INFO:root:Sent Message: System Time - 1678137688.4646559, Logical Clock Time - 83, Queue Length - 0, Message - [machine 1, task 3] the time is 82
INFO:root:Sent Message: System Time - 1678137688.799388, Logical Clock Time - 84, Queue Length - 0, Message - [machine 1, task 2] the time is 83
INFO:root:Sent Message: System Time - 1678137689.136699, Logical Clock Time - 85, Queue Length - 0, Message - [machine 1, task 2] the time is 84
INFO:root:Sent Message: System Time - 1678137689.4761128, Logical Clock Time - 86, Queue Length - 0, Message - [machine 1, task 3] the time is 85
INFO:root:Sent Message: System Time - 1678137689.816604, Logical Clock Time - 87, Queue Length - 0, Message - [machine 1, task 1] the time is 86
INFO:root:Sent Message: System Time - 1678137690.157432, Logical Clock Time - 88, Queue Length - 0, Message - [machine 1, task 3] the time is 87
INFO:root:Sent Message: System Time - 1678137690.4984891, Logical Clock Time - 89, Queue Length - 0, Message - [machine 1, task 1] the time is 88
INFO:root:Sent Message: System Time - 1678137690.8379462, Logical Clock Time - 90, Queue Length - 0, Message - [machine 1, task 2] the time is 89
INFO:root:Sent Message: System Time - 1678137691.176998, Logical Clock Time - 91, Queue Length - 0, Message - [machine 1, task 1] the time is 90
INFO:root:Sent Message: System Time - 1678137691.516248, Logical Clock Time - 92, Queue Length - 0, Message - [machine 1, task 2] the time is 91
INFO:root:Sent Message: System Time - 1678137691.8526368, Logical Clock Time - 93, Queue Length - 0, Message - [machine 1, task 2] the time is 92
INFO:root:Sent Message: System Time - 1678137692.1894588, Logical Clock Time - 94, Queue Length - 0, Message - [machine 1, task 3] the time is 93
INFO:root:Sent Message: System Time - 1678137692.5285492, Logical Clock Time - 95, Queue Length - 0, Message - [machine 1, task 3] the time is 94
INFO:root:Sent Message: System Time - 1678137692.865636, Logical Clock Time - 96, Queue Length - 0, Message - [machine 1, task 2] the time is 95
INFO:root:Sent Message: System Time - 1678137693.2047749, Logical Clock Time - 97, Queue Length - 0, Message - [machine 1, task 2] the time is 96
INFO:root:Sent Message: System Time - 1678137693.5458272, Logical Clock Time - 98, Queue Length - 0, Message - [machine 1, task 2] the time is 97
INFO:root:Sent Message: System Time - 1678137693.886751, Logical Clock Time - 99, Queue Length - 0, Message - [machine 1, task 1] the time is 98
INFO:root:Sent Message: System Time - 1678137694.227731, Logical Clock Time - 100, Queue Length - 0, Message - [machine 1, task 2] the time is 99
INFO:root:Sent Message: System Time - 1678137694.5671282, Logical Clock Time - 101, Queue Length - 0, Message - [machine 1, task 1] the time is 100
INFO:root:Sent Message: System Time - 1678137694.9084952, Logical Clock Time - 102, Queue Length - 0, Message - [machine 1, task 1] the time is 101
INFO:root:Sent Message: System Time - 1678137695.2497869, Logical Clock Time - 103, Queue Length - 0, Message - [machine 1, task 1] the time is 102
INFO:root:Sent Message: System Time - 1678137695.587199, Logical Clock Time - 104, Queue Length - 0, Message - [machine 1, task 1] the time is 103
INFO:root:Sent Message: System Time - 1678137695.925004, Logical Clock Time - 105, Queue Length - 0, Message - [machine 1, task 3] the time is 104
INFO:root:Sent Message: System Time - 1678137696.2656121, Logical Clock Time - 106, Queue Length - 0, Message - [machine 1, task 2] the time is 105
INFO:root:Sent Message: System Time - 1678137696.6049778, Logical Clock Time - 107, Queue Length - 0, Message - [machine 1, task 2] the time is 106
INFO:root:Sent Message: System Time - 1678137696.94367, Logical Clock Time - 108, Queue Length - 0, Message - [machine 1, task 1] the time is 107
INFO:root:Sent Message: System Time - 1678137697.2810829, Logical Clock Time - 109, Queue Length - 0, Message - [machine 1, task 2] the time is 108
INFO:root:Sent Message: System Time - 1678137697.622634, Logical Clock Time - 110, Queue Length - 0, Message - [machine 1, task 1] the time is 109
INFO:root:Sent Message: System Time - 1678137697.9597728, Logical Clock Time - 111, Queue Length - 0, Message - [machine 1, task 3] the time is 110
INFO:root:Sent Message: System Time - 1678137698.296444, Logical Clock Time - 112, Queue Length - 0, Message - [machine 1, task 1] the time is 111
INFO:root:Sent Message: System Time - 1678137698.635076, Logical Clock Time - 113, Queue Length - 0, Message - [machine 1, task 2] the time is 112
INFO:root:Sent Message: System Time - 1678137698.97648, Logical Clock Time - 114, Queue Length - 0, Message - [machine 1, task 2] the time is 113
INFO:root:Sent Message: System Time - 1678137699.31727, Logical Clock Time - 115, Queue Length - 0, Message - [machine 1, task 3] the time is 114
INFO:root:Sent Message: System Time - 1678137699.658528, Logical Clock Time - 116, Queue Length - 0, Message - [machine 1, task 3] the time is 115
INFO:root:Sent Message: System Time - 1678137699.999646, Logical Clock Time - 117, Queue Length - 0, Message - [machine 1, task 2] the time is 116
INFO:root:Sent Message: System Time - 1678137700.33741, Logical Clock Time - 118, Queue Length - 0, Message - [machine 1, task 2] the time is 117
INFO:root:Sent Message: System Time - 1678137700.676588, Logical Clock Time - 119, Queue Length - 0, Message - [machine 1, task 2] the time is 118
INFO:root:Sent Message: System Time - 1678137701.016951, Logical Clock Time - 120, Queue Length - 0, Message - [machine 1, task 3] the time is 119
INFO:root:Sent Message: System Time - 1678137701.357687, Logical Clock Time - 121, Queue Length - 0, Message - [machine 1, task 3] the time is 120
INFO:root:Sent Message: System Time - 1678137701.698963, Logical Clock Time - 122, Queue Length - 0, Message - [machine 1, task 1] the time is 121
INFO:root:Sent Message: System Time - 1678137702.03851, Logical Clock Time - 123, Queue Length - 0, Message - [machine 1, task 2] the time is 122
INFO:root:Sent Message: System Time - 1678137702.37647, Logical Clock Time - 124, Queue Length - 0, Message - [machine 1, task 3] the time is 123
INFO:root:Sent Message: System Time - 1678137702.7179441, Logical Clock Time - 125, Queue Length - 0, Message - [machine 1, task 1] the time is 124
INFO:root:Sent Message: System Time - 1678137703.056261, Logical Clock Time - 126, Queue Length - 0, Message - [machine 1, task 3] the time is 125
INFO:root:Sent Message: System Time - 1678137703.3976152, Logical Clock Time - 127, Queue Length - 0, Message - [machine 1, task 3] the time is 126
INFO:root:Sent Message: System Time - 1678137703.738272, Logical Clock Time - 128, Queue Length - 0, Message - [machine 1, task 2] the time is 127
INFO:root:Sent Message: System Time - 1678137704.075188, Logical Clock Time - 129, Queue Length - 0, Message - [machine 1, task 3] the time is 128
INFO:root:Sent Message: System Time - 1678137704.4137542, Logical Clock Time - 130, Queue Length - 0, Message - [machine 1, task 2] the time is 129
INFO:root:Sent Message: System Time - 1678137704.75399, Logical Clock Time - 131, Queue Length - 0, Message - [machine 1, task 3] the time is 130
INFO:root:Sent Message: System Time - 1678137705.094764, Logical Clock Time - 132, Queue Length - 0, Message - [machine 1, task 3] the time is 131
INFO:root:Sent Message: System Time - 1678137705.436425, Logical Clock Time - 133, Queue Length - 0, Message - [machine 1, task 2] the time is 132
INFO:root:Sent Message: System Time - 1678137705.7777762, Logical Clock Time - 134, Queue Length - 0, Message - [machine 1, task 2] the time is 133
INFO:root:Sent Message: System Time - 1678137706.113665, Logical Clock Time - 135, Queue Length - 0, Message - [machine 1, task 1] the time is 134
INFO:root:Sent Message: System Time - 1678137706.454932, Logical Clock Time - 136, Queue Length - 0, Message - [machine 1, task 3] the time is 135
INFO:root:Sent Message: System Time - 1678137706.790256, Logical Clock Time - 137, Queue Length - 0, Message - [machine 1, task 1] the time is 136
INFO:root:Sent Message: System Time - 1678137707.126992, Logical Clock Time - 138, Queue Length - 0, Message - [machine 1, task 2] the time is 137
INFO:root:Sent Message: System Time - 1678137707.4637702, Logical Clock Time - 139, Queue Length - 0, Message - [machine 1, task 1] the time is 138
INFO:root:Sent Message: System Time - 1678137707.803664, Logical Clock Time - 140, Queue Length - 0, Message - [machine 1, task 3] the time is 139
INFO:root:Sent Message: System Time - 1678137708.1431801, Logical Clock Time - 141, Queue Length - 0, Message - [machine 1, task 1] the time is 140
INFO:root:Sent Message: System Time - 1678137708.484846, Logical Clock Time - 142, Queue Length - 0, Message - [machine 1, task 2] the time is 141
INFO:root:Sent Message: System Time - 1678137708.8260732, Logical Clock Time - 143, Queue Length - 0, Message - [machine 1, task 2] the time is 142
INFO:root:Sent Message: System Time - 1678137709.166605, Logical Clock Time - 144, Queue Length - 0, Message - [machine 1, task 3] the time is 143
INFO:root:Sent Message: System Time - 1678137709.50829, Logical Clock Time - 145, Queue Length - 0, Message - [machine 1, task 3] the time is 144
INFO:root:Sent Message: System Time - 1678137709.84973, Logical Clock Time - 146, Queue Length - 0, Message - [machine 1, task 1] the time is 145
INFO:root:Sent Message: System Time - 1678137710.1909702, Logical Clock Time - 147, Queue Length - 0, Message - [machine 1, task 3] the time is 146
INFO:root:Sent Message: System Time - 1678137710.532424, Logical Clock Time - 148, Queue Length - 0, Message - [machine 1, task 2] the time is 147
INFO:root:Sent Message: System Time - 1678137710.868452, Logical Clock Time - 149, Queue Length - 0, Message - [machine 1, task 3] the time is 148
INFO:root:Sent Message: System Time - 1678137711.209613, Logical Clock Time - 150, Queue Length - 0, Message - [machine 1, task 3] the time is 149
INFO:root:Sent Message: System Time - 1678137711.546176, Logical Clock Time - 151, Queue Length - 0, Message - [machine 1, task 1] the time is 150
INFO:root:Sent Message: System Time - 1678137711.886135, Logical Clock Time - 152, Queue Length - 0, Message - [machine 1, task 1] the time is 151
INFO:root:Sent Message: System Time - 1678137712.226462, Logical Clock Time - 153, Queue Length - 0, Message - [machine 1, task 2] the time is 152
INFO:root:Sent Message: System Time - 1678137712.56812, Logical Clock Time - 154, Queue Length - 0, Message - [machine 1, task 3] the time is 153
INFO:root:Sent Message: System Time - 1678137712.908093, Logical Clock Time - 155, Queue Length - 0, Message - [machine 1, task 2] the time is 154
INFO:root:Sent Message: System Time - 1678137713.249272, Logical Clock Time - 156, Queue Length - 0, Message - [machine 1, task 1] the time is 155
INFO:root:Sent Message: System Time - 1678137713.586699, Logical Clock Time - 157, Queue Length - 0, Message - [machine 1, task 1] the time is 156
INFO:root:Sent Message: System Time - 1678137713.92803, Logical Clock Time - 158, Queue Length - 0, Message - [machine 1, task 1] the time is 157
INFO:root:Sent Message: System Time - 1678137714.2649002, Logical Clock Time - 159, Queue Length - 0, Message - [machine 1, task 2] the time is 158
INFO:root:Sent Message: System Time - 1678137714.606035, Logical Clock Time - 160, Queue Length - 0, Message - [machine 1, task 2] the time is 159
INFO:root:Sent Message: System Time - 1678137714.9470541, Logical Clock Time - 161, Queue Length - 0, Message - [machine 1, task 2] the time is 160
INFO:root:Sent Message: System Time - 1678137715.2849422, Logical Clock Time - 162, Queue Length - 0, Message - [machine 1, task 1] the time is 161
INFO:root:Sent Message: System Time - 1678137715.6252851, Logical Clock Time - 163, Queue Length - 0, Message - [machine 1, task 2] the time is 162
INFO:root:Sent Message: System Time - 1678137715.96646, Logical Clock Time - 164, Queue Length - 0, Message - [machine 1, task 3] the time is 163
INFO:root:Sent Message: System Time - 1678137716.316844, Logical Clock Time - 165, Queue Length - 0, Message - [machine 1, task 3] the time is 164
INFO:root:Sent Message: System Time - 1678137716.656738, Logical Clock Time - 166, Queue Length - 0, Message - [machine 1, task 3] the time is 165
INFO:root:Sent Message: System Time - 1678137716.9958138, Logical Clock Time - 167, Queue Length - 0, Message - [machine 1, task 3] the time is 166
INFO:root:Sent Message: System Time - 1678137717.335401, Logical Clock Time - 168, Queue Length - 0, Message - [machine 1, task 3] the time is 167
INFO:root:Sent Message: System Time - 1678137717.672878, Logical Clock Time - 169, Queue Length - 0, Message - [machine 1, task 2] the time is 168
INFO:root:Sent Message: System Time - 1678137718.011146, Logical Clock Time - 170, Queue Length - 0, Message - [machine 1, task 2] the time is 169
INFO:root:Sent Message: System Time - 1678137718.3504388, Logical Clock Time - 171, Queue Length - 0, Message - [machine 1, task 1] the time is 170
INFO:root:Sent Message: System Time - 1678137718.691655, Logical Clock Time - 172, Queue Length - 0, Message - [machine 1, task 1] the time is 171
INFO:root:Sent Message: System Time - 1678137719.032465, Logical Clock Time - 173, Queue Length - 0, Message - [machine 1, task 3] the time is 172
INFO:root:Sent Message: System Time - 1678137719.369807, Logical Clock Time - 174, Queue Length - 0, Message - [machine 1, task 3] the time is 173
INFO:root:Sent Message: System Time - 1678137719.710537, Logical Clock Time - 175, Queue Length - 0, Message - [machine 1, task 1] the time is 174
INFO:root:Sent Message: System Time - 1678137720.048745, Logical Clock Time - 176, Queue Length - 0, Message - [machine 1, task 2] the time is 175
INFO:root:Sent Message: System Time - 1678137720.388392, Logical Clock Time - 177, Queue Length - 0, Message - [machine 1, task 2] the time is 176
